127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 304, 0.000827
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001184
127.0.0.1, 2015-03-25 10:36:17, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.076427
127.0.0.1, 2015-03-25 10:36:28, GET, /admin/default/edit_language/welcome/languages/it.py, HTTP/1.1, 200, 0.068293
127.0.0.1, 2015-03-25 10:37:02, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.077274
127.0.0.1, 2015-03-25 10:37:32, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.027442
127.0.0.1, 2015-03-25 10:39:29, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.082936
127.0.0.1, 2015-03-25 10:39:34, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.295865
127.0.0.1, 2015-03-25 10:39:34, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000979
127.0.0.1, 2015-03-25 10:39:34, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.141119
127.0.0.1, 2015-03-25 10:39:39, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.079318
127.0.0.1, 2015-03-25 10:39:49, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.305646
127.0.0.1, 2015-03-25 10:39:49, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035461
127.0.0.1, 2015-03-25 10:39:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.149670
127.0.0.1, 2015-03-25 10:39:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.232523
127.0.0.1, 2015-03-25 10:39:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.143305
127.0.0.1, 2015-03-25 10:39:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.263772
127.0.0.1, 2015-03-25 10:39:50, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.068160
127.0.0.1, 2015-03-25 10:40:38, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.027869
127.0.0.1, 2015-03-25 10:40:44, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.031506
127.0.0.1, 2015-03-25 10:40:46, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.031473
127.0.0.1, 2015-03-25 10:40:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073096
127.0.0.1, 2015-03-25 10:40:51, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.983585
127.0.0.1, 2015-03-25 10:40:51, GET, /welcome/appadmin/hooks, HTTP/1.1, 500, 1.929139
127.0.0.1, 2015-03-25 10:40:53, GET, /welcome/appadmin/index, HTTP/1.1, 500, 0.510170
127.0.0.1, 2015-03-25 10:40:55, GET, /admin/default/ticket/welcome/127.0.0.1.2015-03-25.10-40-52.9f08f2af-f53c-411d-92b5-d64764c3c1c4, HTTP/1.1, 200, 0.118109
127.0.0.1, 2015-03-25 10:42:36, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.076198
127.0.0.1, 2015-03-25 10:42:37, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.037512
127.0.0.1, 2015-03-25 10:42:38, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.043550
127.0.0.1, 2015-03-25 10:42:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.124769
127.0.0.1, 2015-03-25 10:42:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.665932
127.0.0.1, 2015-03-25 10:42:39, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.745897
127.0.0.1, 2015-03-25 10:42:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.861564
127.0.0.1, 2015-03-25 10:42:39, GET, /welcome/appadmin/hooks, HTTP/1.1, 500, 0.860842
127.0.0.1, 2015-03-25 10:43:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046554
127.0.0.1, 2015-03-25 10:43:38, GET, /welcome/appadmin/hooks, HTTP/1.1, 500, 0.142452
127.0.0.1, 2015-03-25 10:43:57, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035954
127.0.0.1, 2015-03-25 10:44:00, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.272869
127.0.0.1, 2015-03-25 10:44:02, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.471593
127.0.0.1, 2015-03-25 10:44:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001124
127.0.0.1, 2015-03-25 10:44:03, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.128551
127.0.0.1, 2015-03-25 10:44:05, GET, /welcome/appadmin/insert/db/name, HTTP/1.1, 200, 0.362438
127.0.0.1, 2015-03-25 10:44:05, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001235
127.0.0.1, 2015-03-25 10:44:10, POST, /welcome/appadmin/insert/db/name, HTTP/1.1, 200, 0.385700
127.0.0.1, 2015-03-25 10:44:10, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000902
127.0.0.1, 2015-03-25 10:44:19, GET, /welcome/appadmin/insert/db/name, HTTP/1.1, 200, 0.283929
127.0.0.1, 2015-03-25 10:44:21, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.073320
127.0.0.1, 2015-03-25 10:44:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.124563
127.0.0.1, 2015-03-25 10:44:23, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.235346
127.0.0.1, 2015-03-25 10:44:25, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.046387
127.0.0.1, 2015-03-25 10:44:36, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.063721
127.0.0.1, 2015-03-25 10:44:36, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.059752
127.0.0.1, 2015-03-25 10:44:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.095499
127.0.0.1, 2015-03-25 10:44:36, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.153655
127.0.0.1, 2015-03-25 10:44:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.180225
127.0.0.1, 2015-03-25 10:44:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.115322
127.0.0.1, 2015-03-25 10:44:36, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.347067
127.0.0.1, 2015-03-25 10:45:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049620
127.0.0.1, 2015-03-25 10:45:36, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.167712
127.0.0.1, 2015-03-25 10:45:50, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.033916
127.0.0.1, 2015-03-25 10:46:11, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.034437
127.0.0.1, 2015-03-25 10:46:13, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.033699
127.0.0.1, 2015-03-25 10:46:17, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.054075
127.0.0.1, 2015-03-25 10:46:19, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.254212
127.0.0.1, 2015-03-25 10:46:21, GET, /welcome/appadmin/index, HTTP/1.1, 500, 0.104299
127.0.0.1, 2015-03-25 10:46:23, GET, /admin/default/ticket/welcome/127.0.0.1.2015-03-25.10-46-21.e2aa4146-6b1a-4064-9726-4716960c4b0f, HTTP/1.1, 200, 0.075833
127.0.0.1, 2015-03-25 10:47:36, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.228423
127.0.0.1, 2015-03-25 10:47:38, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.064410
127.0.0.1, 2015-03-25 10:47:39, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.053075
127.0.0.1, 2015-03-25 10:47:39, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.122739
127.0.0.1, 2015-03-25 10:47:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.330343
127.0.0.1, 2015-03-25 10:47:39, GET, /welcome/appadmin/hooks, HTTP/1.1, 500, 0.331314
127.0.0.1, 2015-03-25 10:47:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.361408
127.0.0.1, 2015-03-25 10:47:39, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.261275
127.0.0.1, 2015-03-25 10:47:54, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035170
127.0.0.1, 2015-03-25 10:48:00, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.279384
127.0.0.1, 2015-03-25 10:48:02, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.072946
127.0.0.1, 2015-03-25 10:48:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000905
127.0.0.1, 2015-03-25 10:48:02, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.157192
127.0.0.1, 2015-03-25 10:48:04, GET, /welcome/appadmin/insert/db/name, HTTP/1.1, 200, 0.070364
127.0.0.1, 2015-03-25 10:48:04, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000572
